country,country_code,firm_age_years,employees,competition_pct,exporter_pct,training_pct,access_finance_pct,export_sales_pct,labor_productivity_growth,sales_growth,successful
Malawi,MWI,18.3,48.0,71.7,7.9,32.9,30.3,2.4,-12.1,-9.6,0
Malaysia,MYS,16.1,32.5,39.8,11.2,18.5,35.3,5.0,-0.3,0.3,0
Mali,MLI,20.7,38.0,79.5,9.5,17.7,55.1,1.9,7.1,10.1,1
Malta,MLT,30.7,38.2,26.8,20.2,49.9,28.9,15.0,-0.2,3.1,1
Mauritania,MRT,15.4,47.6,78.5,18.4,52.7,12.8,15.3,-2.6,4.7,1
Moldova,MDA,15.4,29.9,35.95,8.85,36.6,21.6,4.25,-7.3500000000000005,-8.2,0
Mongolia,MNG,13.75,32.3,31.6,3.85,63.0,35.15,2.65,-11.35,-4.9,0
Montenegro,MNE,16.2,23.75,56.1,8.55,17.55,25.200000000000003,3.2,-5.05,-1.3,0
Morocco,MAR,19.4,50.05,47.25,15.899999999999999,31.0,39.349999999999994,7.2,4.25,9.9,1
Mozambique,MOZ,15.0,42.4,58.0,12.2,20.7,11.4,5.6,-2.6,1.8,0
Myanmar,MMR,13.5,27.0,31.35,4.15,10.5,4.949999999999999,3.35,-1.0,2.3,0
Namibia,NAM,9.7,19.9,41.7,3.9,25.4,33.5,1.9,-2.4,3.7,1
Nepal,NPL,14.2,14.2,55.7,4.3,31.9,17.0,1.8,-4.4,0.9,0
Nicaragua,NIC,22.5,22.5,72.9,2.9,57.3,43.4,1.2,-2.6,2.9,1
Niger,NER,15.0,29.3,85.1,5.4,27.5,22.1,2.7,-5.3,2.5,1
Nigeria,NGA,15.9,16.3,46.2,15.2,30.7,6.9,6.4,-14.2,-8.1,0
North Macedonia,MKD,18.0,23.549999999999997,56.6,16.7,41.85,32.35,9.35,0.2,5.4,1
Pakistan,PAK,21.8,85.8,46.5,12.6,32.0,8.1,7.9,-5.0,-1.0,0
Papua New Guinea,PNG,27.7,140.1,72.3,4.2,73.7,36.6,1.2,-10.6,-8.0,0
Paraguay,PRY,23.4,59.0,72.3,4.6,46.4,45.5,2.6,0.6,4.6,1
Peru,PER,22.9,79.1,75.9,12.0,65.9,57.1,5.5,-5.2,-2.2,0
Philippines,PHL,19.4,37.7,30.9,7.1,59.8,12.4,4.3,2.2,5.4,1
Poland,POL,18.65,29.349999999999998,28.0,10.85,28.15,39.5,4.35,-0.4,1.25,0
Portugal,PRT,23.4,23.3,47.0,9.5,29.0,16.7,4.2,1.3,3.3,1
Romania,ROU,16.6,24.35,25.15,12.05,31.95,26.6,6.8999999999999995,0.4,0.65,0
Russian Federation,RUS,11.05,31.35,29.2,3.7,29.0,22.549999999999997,1.55,-0.8500000000000001,2.85,1
Rwanda,RWA,10.2,31.799999999999997,43.150000000000006,7.8,45.65,17.75,2.95,-3.8000000000000003,5.3500000000000005,1
Senegal,SEN,16.6,38.6,76.4,8.0,17.4,19.2,2.5,-3.1,4.9,1
Serbia,SRB,18.549999999999997,33.3,48.35,29.35,35.95,36.15,13.350000000000001,3.6500000000000004,4.1000000000000005,1
Sierra Leone,SLE,17.2,16.0,62.5,2.2,21.6,7.0,0.5,1.3,19.1,1
Slovak Republic,SVK,16.45,35.6,41.15,18.8,43.4,31.7,8.6,-0.30000000000000004,4.5,1
Slovenia,SVN,21.75,27.65,22.5,40.599999999999994,42.8,33.95,18.85,2.85,5.9,1
Solomon Islands,SLB,16.8,46.3,59.7,12.3,42.0,25.6,8.8,2.7,14.7,1
South Sudan,SSD,4.2,12.3,69.8,2.6,17.1,8.0,0.8,-62.1,-56.1,0
Sri Lanka,LKA,23.2,36.6,47.4,3.7,18.4,43.6,2.6,-2.4,-0.4,0
Sudan,SDN,13.3,25.3,90.5,6.7,9.5,6.7,3.3,9.8,13.2,1
Suriname,SUR,25.9,21.5,54.6,7.4,34.8,51.8,3.0,-14.1,-14.1,0
Sweden,SWE,28.3,40.8,29.7,16.4,70.3,17.9,7.5,0.7,1.4,0
Tajikistan,TJK,11.4,30.8,23.299999999999997,3.7,28.5,10.75,1.9,3.7,8.4,1
Tanzania,TZA,13.7,19.8,72.6,6.0,30.7,18.5,2.3,-27.6,-22.1,0
Thailand,THA,19.8,44.7,25.1,4.7,18.0,15.3,2.6,-3.0,-1.8,0
Timor-Leste,TLS,10.7,25.4,56.8,36.8,1.9,12.5,30.1,-3.8,3.2,1
Togo,TGO,14.3,50.6,68.7,26.4,33.7,25.7,16.0,4.2,12.0,1
Tunisia,TUN,20.6,49.2,53.05,26.9,24.0,29.4,16.05,-4.8,-2.0,0
Turkey,TUR,17.05,31.2,45.25,15.8,29.75,37.0,9.2,2.6,6.8999999999999995,1
Uganda,UGA,10.3,18.7,95.2,4.1,34.7,8.1,0.9,-32.5,-32.7,0
Ukraine,UKR,15.700000000000001,34.05,50.8,8.85,22.700000000000003,20.6,3.6,-8.25,-10.6,0
Uruguay,URY,25.9,33.4,67.9,10.7,53.3,31.8,6.7,7.4,8.4,1
Uzbekistan,UZB,11.05,29.1,21.3,3.25,17.0,17.8,1.75,-3.95,1.4500000000000002,0
Vietnam,VNM,11.2,52.2,49.5,9.6,22.2,29.3,5.5,-5.8,-0.8,0
West Bank and Gaza,PSE,19.15,13.0,56.75,18.95,10.35,7.7,11.4,-0.6499999999999999,0.4,0
"Yemen, Rep.",YEM,24.0,20.9,43.0,9.2,14.3,3.8,4.1,-14.4,-19.9,0
Zambia,ZMB,15.7,40.4,69.35,5.949999999999999,34.900000000000006,11.4,2.25,-1.65,1.8499999999999999,0
Zimbabwe,ZWE,27.799999999999997,38.7,72.80000000000001,4.9,28.799999999999997,14.899999999999999,1.5,-1.5,-5.2,0
